date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:03:31	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202017%2007:03:30%20GMT	http://localhost:8080/robots.txt		(from )
04:03:33	37738/37738	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202017%2007:03:31%20GMT	http://localhost:8080/	C:/Meus%20Sites/testef2/localhost_8080/index.html	(from )
04:03:33	1606/1606	---M-Z	200	added ('OK')	text/css	etag:%22646-54da4dee99791-gzip%22	http://localhost:8080/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7	C:/Meus%20Sites/testef2/localhost_8080/wp-content/plugins/contact-form-7/includes/css/styles4906.css	(from http://localhost:8080/)
04:03:33	162245/162245	---M-Z	200	added ('OK')	text/css	etag:%22279c5-54da588e9b50d-gzip%22	http://localhost:8080/wp-content/themes/Avada/assets/css/style.min.css?ver=5.1.6	C:/Meus%20Sites/testef2/localhost_8080/wp-content/themes/Avada/assets/css/style.minb62d.css	(from http://localhost:8080/)
04:03:34	490626/490626	---M-Z	200	added ('OK')	text/css	etag:%2277c82-550cc840de60d-gzip%22	http://localhost:8080/wp-content/uploads/fusion-styles/fusion-92.css?ver=4.7.5	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/fusion-styles/fusion-9266f2.css	(from http://localhost:8080/)
04:03:36	22883/22883	---M--	200	added ('OK')	image/png	etag:%225963-550c35ee62a09%22	http://localhost:8080/wp-content/uploads/2017/05/logo-2-1.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/logo-2-1.png	(from http://localhost:8080/)
04:03:36	1570/1570	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bd29d3643aee19215b5892d740f0ab6f-gzip%22	http://localhost:8080/?feed=rss2	C:/Meus%20Sites/testef2/localhost_8080/indexd784.html	(from http://localhost:8080/)
04:03:36	1587/1587	---M-Z	200	added ('OK')	application/rss+xml	etag:%225d5230324280bc0d72d4967a235d3eb0-gzip%22	http://localhost:8080/?feed=comments-rss2	C:/Meus%20Sites/testef2/localhost_8080/indexa6da.html	(from http://localhost:8080/)
04:03:36	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://localhost:8080/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Meus%20Sites/testef2/localhost_8080/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost:8080/)
04:03:37	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-5337eac0d4540-gzip%22	http://localhost:8080/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Meus%20Sites/testef2/localhost_8080/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost:8080/)
04:03:38	823/823	---M-Z	200	added ('OK')	text/xml	date:Wed,%2031%20May%202017%2007:03:36%20GMT	http://localhost:8080/xmlrpc.php?rsd	C:/Meus%20Sites/testef2/localhost_8080/xmlrpc0db0.php	(from http://localhost:8080/)
04:03:38	81579/81579	---M-Z	200	added ('OK')	application/json	date:Wed,%2031%20May%202017%2007:03:36%20GMT	http://localhost:8080/?rest_route=/	C:/Meus%20Sites/testef2/localhost_8080/index52f0.html	(from http://localhost:8080/)
04:03:38	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://localhost:8080/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/testef2/localhost_8080/wp-includes/wlwmanifest.xml	(from http://localhost:8080/)
04:03:41	2134/2134	---M-Z	200	added ('OK')	application/json	date:Wed,%2031%20May%202017%2007:03:39%20GMT	http://localhost:8080/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2F	C:/Meus%20Sites/testef2/localhost_8080/index3e83.html	(from http://localhost:8080/)
04:03:41	16110/16110	---M--	200	added ('OK')	image/png	etag:%223eee-550cbf44bcf57%22	http://localhost:8080/wp-content/uploads/2017/05/icone1.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/icone1.png	(from http://localhost:8080/)
04:03:41	2229/2229	---M-Z	200	added ('OK')	text/xml	date:Wed,%2031%20May%202017%2007:03:39%20GMT	http://localhost:8080/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2F&format=xml	C:/Meus%20Sites/testef2/localhost_8080/indexf4bf.html	(from http://localhost:8080/)
04:03:42	71286/71286	---M--	200	added ('OK')	image/png	etag:%2211676-550c21279c31e%22	http://localhost:8080/wp-content/uploads/2017/05/Img1-300x270.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/Img1-300x270.png	(from http://localhost:8080/)
04:03:43	15853/15853	---M--	200	added ('OK')	image/png	etag:%223ded-550cbf6e07a7c%22	http://localhost:8080/wp-content/uploads/2017/05/icone3.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/icone3.png	(from http://localhost:8080/)
04:03:43	13740/13740	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202017%2007:03:41%20GMT	http://localhost:8080/?author=1	C:/Meus%20Sites/testef2/localhost_8080/indexcd64.html	(from http://localhost:8080/)
04:03:44	16014/16014	---M--	200	added ('OK')	image/png	etag:%223e8e-550cbf5970d5e%22	http://localhost:8080/wp-content/uploads/2017/05/icone2.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/icone2.png	(from http://localhost:8080/)
04:03:49	31421/31421	---M--	200	added ('OK')	image/png	etag:%227abd-550c2cb665b85%22	http://localhost:8080/wp-content/uploads/2017/05/molten-core-2-lava-3-150x150.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/molten-core-2-lava-3-150x150.png	(from http://localhost:8080/)
04:03:51	46012/46012	---M--	200	added ('OK')	image/png	etag:%22b3bc-550c2bd77ae96%22	http://localhost:8080/wp-content/uploads/2017/05/invisible_man__check__by_guixz-d7r4wqm1-150x150.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/invisible_man__check__by_guixz-d7r4wqm1-150x150.png	(from http://localhost:8080/)
04:03:54	17014/17014	---M--	200	added ('OK')	image/png	etag:%224276-550c2d2219090%22	http://localhost:8080/wp-content/uploads/2017/05/Tatuagem-150x150.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/Tatuagem-150x150.png	(from http://localhost:8080/)
04:03:58	53171/53171	---M--	200	added ('OK')	image/png	etag:%22cfb3-550c2d2055cc6%22	http://localhost:8080/wp-content/uploads/2017/05/Tatuagem.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/Tatuagem.png	(from http://localhost:8080/)
04:03:58	23036/23036	---M--	200	added ('OK')	image/png	etag:%2259fc-550c2d97241a7%22	http://localhost:8080/wp-content/uploads/2017/05/Dragoleta.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/Dragoleta.png	(from http://localhost:8080/)
04:03:59	8834/8834	---M--	200	added ('OK')	image/png	etag:%222282-550c2d9919a65%22	http://localhost:8080/wp-content/uploads/2017/05/Dragoleta-150x150.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/Dragoleta-150x150.png	(from http://localhost:8080/)
04:04:01	15872/15872	---M--	200	added ('OK')	image/png	etag:%223e00-550cc56ef31df%22	http://localhost:8080/wp-content/uploads/2017/05/icone4.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/icone4.png	(from http://localhost:8080/)
04:04:02	16049/16049	---M--	200	added ('OK')	image/png	etag:%223eb1-550cc559e2ea8%22	http://localhost:8080/wp-content/uploads/2017/05/icone5.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/icone5.png	(from http://localhost:8080/)
04:04:02	15248/15248	---M-Z	200	added ('OK')	application/javascript	etag:%223b90-54da4deec7fcd-gzip%22	http://localhost:8080/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	C:/Meus%20Sites/testef2/localhost_8080/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from http://localhost:8080/)
04:04:02	1078/1078	---M-Z	200	added ('OK')	application/javascript	etag:%22436-524d577143400-gzip%22	http://localhost:8080/wp-includes/js/comment-reply.min.js?ver=4.7.5	C:/Meus%20Sites/testef2/localhost_8080/wp-includes/js/comment-reply.min66f2.js	(from http://localhost:8080/)
04:04:02	13676/13676	---M-Z	200	added ('OK')	application/javascript	etag:%22356c-54da4deecdd90-gzip%22	http://localhost:8080/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.7	C:/Meus%20Sites/testef2/localhost_8080/wp-content/plugins/contact-form-7/includes/js/scripts4906.js	(from http://localhost:8080/)
04:04:03	1398/1398	---M-Z	200	added ('OK')	application/javascript	etag:%22576-541f8014be840-gzip%22	http://localhost:8080/wp-includes/js/wp-embed.min.js?ver=4.7.5	C:/Meus%20Sites/testef2/localhost_8080/wp-includes/js/wp-embed.min66f2.js	(from http://localhost:8080/)
04:04:03	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-54da4dee89171%22	http://localhost:8080/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/Meus%20Sites/testef2/localhost_8080/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://localhost:8080/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7)
04:04:04	5321/5321	---M--	200	added ('OK')	image/png	etag:%2214c9-54d6035101980%22	http://localhost:8080/wp-content/themes/Avada/assets/images/shadow-top.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/themes/Avada/assets/images/shadow-top.png	(from http://localhost:8080/wp-content/themes/Avada/assets/css/style.min.css?ver=5.1.6)
